name_a,name_b,value
Nathan Chapman,Taylor Swift,41
Jack Antonoff,Taylor Swift,32
Max Martin,Shellback,21
Christopher Rowe,Taylor Swift,19
Aaron Dessner,Taylor Swift,6
Joel Little,Taylor Swift,4
Dann Huff,Taylor Swift,3
Louis Bell,Taylor Swift,3
Frank Dukes,Louis Bell,3
Dann Huff,Nathan Chapman,3
Max Martin,Taylor Swift,3
Jack Antonoff,Max Martin,3
Frank Dukes,Taylor Swift,3
Ali Payami,Shellback,2
Ali Payami,Max Martin,2
Noel Zancanella,Ryan Tedder,2
Noel Zancanella,Taylor Swift,2
Ryan Tedder,Taylor Swift,2
Aaron Dessner,James Mcalister,1
Aaron Dessner,BJ Burton,1
Aaron Dessner,Bryce Dessner,1
Aaron Dessner,Jack Antonoff,1
Jack Antonoff,Sounwave,1
Sounwave,Taylor Swift,1
BJ Burton,James Mcalister,1
Nathan Chapman,Robert Orrall,1
Oscar Holter,Shellback,1
Max Martin,Oscar Holter,1
Oscar Gorres,Shellback,1
Max Martin,Oscar Gorres,1
Imogen Heap,Taylor Swift,1
Aneglo Petraglia,Robert Orrall,1
Greg Kurstin,Jack Antonoff,1
Greg Kurstin,Taylor Swift,1
Mattman & Robin,Shellback,1
Mattman & Robin,Max Martin,1
Brett James,Troy Verges,1
Greg Kurstin,Max Martin,1
